id,name,region_id
1,ABENGOUROU,20
2,ABOBO-EST,1
3,ABOBO-OUEST,1
4,ABOISSO,30
5,ADIAKE,30
6,ADJAME-ATTECOUBE-PLATEAU,2
7,ADZOPE,22
8,AGBOVILLE,3
9,AGNIBILEKROU,20
10,AKOUPE,22
11,ALEPE,22
12,ANYAMA,1
13,ARRAH,25
14,BANGOLO,16
15,BEOUMI,11
16,BETTIE,20
17,BIANKOUMA,32
18,BLOLEQUIN,9
19,BOCANDA,27
20,BONDOUKOU,14
21,BONGOUANOU,25
22,BOTRO,11
23,BOUAFLE,24
24,"BOUAKE NORD-EST",11
25,"BOUAKE NORD-OUEST",11
26,"BOUAKE SUD",11
27,BOUNA,8
28,BOUNDIALI,5
29,BUYO,26
30,COCODY-BINGERVILLE,2
31,DABAKALA,17
32,DABOU,15
33,DALOA,18
34,DANANE,32
35,DAOUKRO,19
36,DIANRA,7
37,DIDIEVI,6
38,DIKODOUGOU,28
39,DIMBOKRO,27
40,DIVO,23
41,DOROPO,8
42,DUEKOUE,16
43,FERKESSEDOUGOU,31
44,FRESCO,12
45,"GAGNOA 1",13
46,"GAGNOA 2",13
47,GRAND-BASSAM,30
48,GRAND-LAHOU,15
49,GUEYO,26
50,GUIGLO,9
51,GUITRY,23
52,ISSIA,18
53,JACQUEVILLE,15
54,KANI,33
55,KANIASSO,10
56,KATIOLA,17
57,KONG,31
58,"KORHOGO 1",28
59,"KORHOGO 2",28
60,KORO,4
61,KOUASSI-KOUSSIKRO,27
62,KOUIBLY,16
63,KOUMASSI,2
64,KOUNAHIRI,7
65,KOUN-FAO,14
66,KOUTO,5
67,LAKOTA,23
68,MADINANI,21
69,MAN,32
70,MANKONO,7
71,M'BAHIAKRO,19
72,M'BATTO,25
73,M'BENGUE,28
74,MEAGUI,26
75,MINIGNAN,10
76,NASSIAN,8
77,NIAKARAMADOUGOU,17
78,ODIENNE,21
79,OUANGOLODOUGOU,31
80,OUANINOU,4
81,OUME,13
82,"PORT BOUET-VRIDI",2
83,PRIKRO,19
84,SAKASSOU,11
85,SANDEGUE,14
86,SAN-PEDRO,29
87,SASSANDRA,12
88,SEGUELA,33
89,SIKENSI,3
90,SINEMATIALI,28
91,SINFRA,24
92,SOUBRE,26
93,TABOU,29
94,TAI,9
95,TANDA,14
96,TEHINI,8
97,TENGRELA,5
98,TIAPOUM,30
99,TIASSALE,3
100,TIEBISSOU,6
101,TOUBA,4
102,TOULEPLEU,9
103,TOUMODI,6
104,TRANSUA,14
105,TREICHVILLE-MARCORY,2
106,VAVOUA,18
107,YAKASSE-ATTOBROU,22
108,YAMOUSSOUKRO,6
109,YOPOUGON-EST,1
110,YOPOUGON-OUEST,1
111,ZOUAN-HOUNIEN,32
112,ZOUKOUGBEU,18
113,ZUENOULA,24
